Key,Time,Tor_precip_mean_mm,Tor_precip_RecordDays,RMB_precip_mean_mm,RMB_precip_RecordDays
1,1/1/2014,243.1,All,130.3,More than 20
2,2/1/2014,111.3,More than 20,118.7,More than 20
3,3/1/2014,88.3,All,229,All
4,4/1/2014,202.6,More than 20,122.3,More than 20
5,5/1/2014,347.5,All,515,All
6,6/1/2014,210.1,More than 20,377.5,More than 20
7,7/1/2014,207.1,All,469.8,All
8,8/1/2014,231.6,All,565.6,All
9,9/1/2014,138.1,More than 20,344,More than 20
10,10/1/2014,161.2,All,418.8,All
11,11/1/2014,321.8,More than 20,276.3,More than 20
12,12/1/2014,228,All,209.1,All
13,1/1/2015,128.6,All,67.5,All
14,2/1/2015,75.5,More than 20,55.3,More than 20
15,3/1/2015,356.7,All,267.5,All
16,4/1/2015,232.1,More than 20,255.7,More than 20
17,5/1/2015,403.7,All,718.2,All
18,6/1/2015,220.3,More than 20,317.3,More than 20
19,7/1/2015,247.9,All,174,All
20,8/1/2015,191.9,All,408.4,All
21,9/1/2015,33.5,More than 20,216,More than 20
22,10/1/2015,70.3,All,189.3,All
23,11/1/2015,154.5,More than 20,189.3,More than 20
24,12/1/2015,243.2,All,,None
25,1/1/2016,50.7,All,37,All
26,2/1/2016,227.9,More than 20,37,More than 20
27,3/1/2016,112.8,All,32.2,All
28,4/1/2016,101.2,More than 20,79,More than 20
29,5/1/2016,7.9,All,17.4,All
30,6/1/2016,77.9,More than 20,148.2,More than 20
31,7/1/2016,131.3,All,408.2,All
32,8/1/2016,309.9,All,,None
33,9/1/2016,69.4,More than 20,225.8,More than 20
34,10/1/2016,174.8,All,254.4,All
35,11/1/2016,137.1,More than 20,305.8,More than 20
36,12/1/2016,356,All,324.2,All
37,1/1/2017,300.1,More than 20,297,All
38,2/1/2017,191.4,More than 20,304.6,More than 20
39,3/1/2017,109.2,All,165.4,More than 20
40,4/1/2017,182.1,More than 20,,None
41,5/1/2017,328.3,All,234.8,Eleven to 20
42,6/1/2017,190.7,More than 20,769.8,More than 20
43,7/1/2017,346.2,All,653.2,All
44,8/1/2017,203.7,More than 20,828.6,All
45,9/1/2017,164.2,More than 20,203.4,Eleven to 20
46,10/1/2017,172.9,More than 20,370,All
47,11/1/2017,102.5,More than 20,123.4,More than 20
48,12/1/2017,177.5,More than 20,76.8,Eleven to 20
49,1/1/2018,224.9,All,84.6,One to 10
50,2/1/2018,135,More than 20,57.4,More than 20
51,3/1/2018,315.8,All,235.3,All
52,4/1/2018,395.8,More than 20,100.1,More than 20
53,5/1/2018,156.4,More than 20,139.4,More than 20
54,6/1/2018,184.1,More than 20,,None
55,7/1/2018,90.9,More than 20,97.2,More than 20
56,8/1/2018,248.7,More than 20,,None
57,9/1/2018,160.9,More than 20,201.6,Eleven to 20
58,10/1/2018,95.3,All,243.2,All
59,11/1/2018,155.7,More than 20,196.8,More than 20
60,12/1/2018,123.2,More than 20,78.3,More than 20
